Город,Год,Среднее загрязнение PM2.5 (мкг/м³),Среднее загрязнение PM10 (мкг/м³)
Караганда,2011,35,52
Караганда,2012,37,54
Караганда,2013,36,58
Караганда,2014,32,60
Караганда,2015,40,66
Караганда,2016,39,68
Караганда,2017,34,63
Караганда,2018,38,61
Караганда,2019,37,65
