Город,Год,Количество жителей (тыс)
Кокшетау,2011,140
Кокшетау,2012,142
Кокшетау,2013,145
Кокшетау,2014,147
Кокшетау,2015,150
Кокшетау,2016,152
Кокшетау,2017,155
Кокшетау,2018,158
Кокшетау,2019,160
