Город,Год,Среднее загрязнение PM2.5 (мкг/м³),Среднее загрязнение PM10 (мкг/м³)
Атырау,2011,28,46
Атырау,2012,30,48
Атырау,2013,29,45
Атырау,2014,31,50
Атырау,2015,33,52
Атырау,2016,35,51
Атырау,2017,34,49
Атырау,2018,36,47
Атырау,2019,32,50
