Город,Год,Скорость ветра (м/с)
Костанай,2011,2.5
Костанай,2012,2.4
Костанай,2013,2.3
Костанай,2014,2.2
Костанай,2015,2.1
Костанай,2016,2.0
Костанай,2017,2.1
Костанай,2018,2.3
Костанай,2019,2.5
