Город,Год,Среднее загрязнение PM2.5 (мкг/м³),Среднее загрязнение PM10 (мкг/м³)
Семей,2011,35,50
Семей,2012,34,52
Семей,2013,33,51
Семей,2014,31,53
Семей,2015,30,54
Семей,2016,32,53
Семей,2017,31,52
Семей,2018,30,51
Семей,2019,29,50
