Город,Год,Скорость ветра (м/с)
Астана,2011,3.5
Астана,2012,3.7
Астана,2013,4.0
Астана,2014,4.2
Астана,2015,4.1
Астана,2016,4.3
Астана,2017,4.0
Астана,2018,3.8
Астана,2019,3.6
