Город,Год,Среднее загрязнение PM2.5 (мкг/м³),Среднее загрязнение PM10 (мкг/м³)
Актау,2011,25,42
Актау,2012,27,44
Актау,2013,26,41
Актау,2014,28,39
Актау,2015,30,43
Актау,2016,32,40
Актау,2017,31,38
Актау,2018,29,37
Актау,2019,28,39
