Город,Год,Среднее загрязнение PM2.5 (мкг/м³),Среднее загрязнение PM10 (мкг/м³)
Кызылорда,2011,26,40
Кызылорда,2012,27,42
Кызылорда,2013,28,43
Кызылорда,2014,25,41
Кызылорда,2015,29,39
Кызылорда,2016,30,38
Кызылорда,2017,31,37
Кызылорда,2018,30,36
Кызылорда,2019,28,35
